Elapsed,vanilla,vanilla5
0.1,2.0062695924765,0.94138320572361
0.2,3.0721003134796,4.0542236726497
0.3,10.094043887147,7.217271243881
0.4,16.112852664577,13.693987699259
0.5,21.943573667712,25.178862809087
0.6,15.548589341693,17.974143341283
0.7,8.5266457680251,9.3887285050835
0.8,5.3918495297806,6.5269235596837
0.9,3.3855799373041,2.5480105434919
1.0,2.7586206896552,2.7488389607129
1.1,2.257053291536,1.7823522028367
1.2,1.8181818181818,1.5815237856157
1.3,1.3166144200627,1.4936613530815
1.4,0.50156739811912,0.74055478850257
1.5,0.37617554858934,0.32634617798418
1.6,0.56426332288401,0.30124262583156
1.7,0.37617554858934,0.20082841722104
1.8,0.18808777429467,0.050207104305259
1.9,0.12539184952978,0.13806953683946
2.0,0.37617554858934,0.15062131291578
2.1,0.43887147335423,0.20082841722104
2.2,0.18808777429467,0.11296598468683
2.3,0.37617554858934,0.22593196937367
2.4,0.25078369905956,0.075310656457889
2.5,0.18808777429467,0.22593196937367
2.6+,1.4420062695925,1.594075561692
>>>,0.37617554858934,0.52717459520522
