Elapsed,vanilla,minus10,nofooter
0.2,1.5294117647059,8.2547169811321,7.0671378091873
0.3,9.7647058823529,3.8915094339623,4.9469964664311
0.4,0.70588235294118,0,1.0600706713781
0.5,0,0,2.1201413427562
0.6,0.23529411764706,0.82547169811321,6.0070671378092
0.7,1.6470588235294,3.4198113207547,14.487632508834
0.8,6.7058823529412,6.0141509433962,10.718492343934
0.9,6.5882352941176,13.679245283019,20.494699646643
1.0,14,14.033018867925,10.129564193168
1.1,15.294117647059,16.981132075472,4.5936395759717
1.2,13.294117647059,10.731132075472,5.1825677267373
1.3,7.7647058823529,4.2452830188679,2.7090694935218
1.4,6.8235294117647,4.4811320754717,1.6489988221437
1.5,3.5294117647059,2.8301886792453,1.1778563015312
1.6,2,1.8867924528302,1.1778563015312
1.7,1.4117647058824,0.82547169811321,0.82449941107185
1.8,1.0588235294118,1.2971698113208,0.58892815076561
1.9,0.82352941176471,1.4150943396226,0.82449941107185
2.0,0.82352941176471,0.70754716981132,0.23557126030624
2.1,1.2941176470588,0.35377358490566,0.47114252061249
2.2,0.47058823529412,0.58962264150943,0.58892815076561
2.3,0.11764705882353,0.35377358490566,0.23557126030624
2.4,0.94117647058824,0.47169811320755,0.23557126030624
2.5,0.11764705882353,0.23584905660377,0
2.6,0.23529411764706,0.11792452830189,0
2.7,0.11764705882353,0,0.35335689045936
2.8,0,0.11792452830189,0.35335689045936
2.9,0.23529411764706,0,0.35335689045936
3.0,0.11764705882353,0.82547169811321,0
3.1,0.23529411764706,0.23584905660377,0.23557126030624
3.2,0.23529411764706,0.23584905660377,0.11778563015312
3.3,0.47058823529412,0.11792452830189,0
3.4,0.11764705882353,0,0.23557126030624
3.5,0.11764705882353,0.23584905660377,0.23557126030624
3.6,0,0.23584905660377,0
3.7,0.23529411764706,0.23584905660377,0
3.8,0.23529411764706,0,0
4.0,0.11764705882353,0,0.11778563015312
4.4,0,0.11792452830189,0
4.5,0,0,0.11778563015312
4.7,0.11764705882353,0,0
4.8,0.11764705882353,0,0
5.4,0,0,0.35335689045936
5.6,0.23529411764706,0,0
6.0,0.11764705882353,0,0
