Elapsed,vanilla,vanilla02,vanilla03,vanilla-essence
0.2,2.1577380952381,0,0,0.71764414748825
0.3,3.2738095238095,4.673590504451,4.8183839881394,4.2563721851027
0.4,0.9672619047619,0.66765578635015,0.51890289103039,0.71764414748825
0.5,2.9761904761905,1.6320474777448,0.88954781319496,1.8312298935907
0.6,8.8541666666667,9.4213649851632,10.600444773907,9.6263301163078
0.7,10.119047619048,8.6795252225519,8.8213491475167,9.2056421677803
0.8,17.03869047619,14.985163204748,16.160118606375,16.060381093789
0.9,15.997023809524,13.946587537092,15.492957746479,15.144766146993
1.0,12.574404761905,12.982195845697,12.305411415864,12.620638455828
1.1,7.5892857142857,7.7151335311573,8.3024462564863,7.8693392724573
1.2,4.8363095238095,6.5281899109792,5.4855448480356,5.617421430339
1.3,2.4553571428571,4.3026706231454,4.299481097109,3.6872061370948
1.4,1.7857142857143,3.5608308605341,1.8532246108228,2.4003959415986
1.5,2.0833333333333,2.6706231454006,2.2238695329874,2.3261568918585
1.6,1.6369047619048,1.8545994065282,2.3721275018532,1.9549616431576
1.7,1.264880952381,1.1127596439169,0.74128984432913,1.0393466963623
1.8,0.74404761904762,0.89020771513353,1.1119347664937,0.91561494679535
1.9,0.37202380952381,0.74183976261128,0.59303187546331,0.56916604800792
2.0,0.52083333333333,0.29673590504451,0.22238695329874,0.34644889878743
2.1,0.14880952380952,0.22255192878338,0.51890289103039,0.29695619896065
2.2,0.44642857142857,0.37091988130564,0.074128984432913,0.29695619896065
2.3,0.14880952380952,0.22255192878338,0.22238695329874,0.1979707993071
2.4,0,0.22255192878338,0.14825796886583,0.12373174956694
2.5,0.14880952380952,0.074183976261128,0,0.074239049740163
2.6+,1.860119047619,2.2255192878338,2.2238695329874,2.103439742638
