Accum,wp44,wp45,wp46,wp47
0.22,0.027027027027027,0.027027027027027,0,0
0.23,0.10810810810811,0.10810810810811,0.10810810810811,0
0.25,0.10810810810811,0.13513513513514,0.13513513513514,0.081081081081081
0.26,0.10810810810811,0.13513513513514,0.13513513513514,0.10810810810811
0.27,0.10810810810811,0.13513513513514,0.13513513513514,0.13513513513514
0.28,0.13513513513514,0.13513513513514,0.13513513513514,0.13513513513514
0.32,0.21621621621622,0.13513513513514,0.13513513513514,0.13513513513514
0.33,0.86486486486486,0.2972972972973,0.16216216216216,0.13513513513514
0.34,1.4324324324324,1.1621621621622,0.78378378378378,0.13513513513514
0.35,1.8648648648649,1.4864864864865,1.4594594594595,0.13513513513514
0.36,4.9459459459459,2.4324324324324,1.9459459459459,0.13513513513514
0.37,9.6216216216216,6.972972972973,4.7567567567568,0.56756756756757
0.38,14.783783783784,11.432432432432,8.7567567567568,1.2702702702703
0.39,18.162162162162,16.054054054054,13.513513513514,1.5135135135135
0.40,21.675675675676,19.810810810811,17.594594594595,2.9189189189189
0.41,26.27027027027,23.486486486486,21.459459459459,6.2162162162162
0.42,32.162162162162,27.621621621622,24.945945945946,10.837837837838
0.43,37.081081081081,31.837837837838,28.891891891892,15.513513513514
0.44,42,36.810810810811,34.081081081081,18.891891891892
0.45,45.513513513514,41.378378378378,39.189189189189,21.918918918919
0.46,48.432432432432,44.756756756757,43.702702702703,24.891891891892
0.47,50.864864864865,47.918918918919,47.27027027027,29.621621621622
0.48,53.459459459459,51.324324324324,49.783783783784,34.945945945946
0.49,56.972972972973,55,53.216216216216,40.027027027027
0.50,61.189189189189,59.459459459459,57.324324324324,43.702702702703
0.51,64.432432432432,63.405405405405,61.162162162162,46.054054054054
0.52,67.297297297297,65.810810810811,63.945945945946,49.432432432432
0.53,69.810810810811,68.540540540541,66.513513513514,53.189189189189
0.54,71.432432432432,70.621621621622,68.891891891892,56.675675675676
0.55,72.72972972973,72.405405405405,70.810810810811,60.378378378378
0.56,73.621621621622,73.675675675676,72.189189189189,63.027027027027
0.57,74.567567567568,74.702702702703,73.594594594595,65.486486486486
0.58,75.648648648649,75.972972972973,74.837837837838,67.648648648649
0.59,76.432432432432,76.945945945946,75.864864864865,69.162162162162
0.60,76.972972972973,77.594594594595,76.702702702703,71.054054054054
0.61,77.72972972973,78,77.405405405405,72.189189189189
0.62,78.459459459459,78.621621621622,77.810810810811,73.108108108108
0.63,79.243243243243,79.216216216216,78.351351351351,74.351351351351
0.64,80.081081081081,80.027027027027,79.243243243243,75.27027027027
0.65,81.054054054054,81.162162162162,80.135135135135,76.081081081081
0.66,81.837837837838,82,80.783783783784,76.837837837838
0.67,82.540540540541,82.648648648649,81.459459459459,77.756756756757
0.68,83.108108108108,83.243243243243,82.297297297297,78.702702702703
0.69,83.513513513514,83.783783783784,82.891891891892,79.675675675676
0.70,83.918918918919,84.162162162162,83.351351351351,80.513513513514
0.71,84.378378378378,84.486486486486,83.783783783784,81.054054054054
0.72,84.756756756757,85.135135135135,84.243243243243,81.891891891892
0.73,85.054054054054,85.810810810811,84.756756756757,82.378378378378
0.74,85.567567567568,86.081081081081,85.108108108108,83
0.75,86,86.459459459459,85.594594594595,83.648648648649
0.76,86.351351351351,86.837837837838,86.162162162162,84.216216216216
0.77,86.945945945946,87.243243243243,86.756756756757,84.702702702703
0.78,87.594594594595,88.027027027027,87.351351351351,85.054054054054
0.79,88,88.540540540541,87.756756756757,85.72972972973
0.80,88.162162162162,88.648648648649,87.972972972973,85.972972972973
0.8,89.918918918919,90.108108108108,89.324324324324,88.081081081081
0.9,92.054054054054,92.054054054054,91.675675675676,90.837837837838
1.0,94.162162162162,93.945945945946,94.081081081081,93.243243243243
1.1,95.324324324324,95.378378378378,95.459459459459,94.945945945946
1.2,96.27027027027,96.27027027027,96.324324324324,95.864864864865
1.3,96.891891891892,96.864864864865,97.054054054054,96.702702702703
1.4,97.459459459459,97.567567567568,97.513513513513,97.378378378378
1.5,97.756756756757,97.864864864865,97.945945945946,97.702702702703
1.6,98.189189189189,98.216216216216,98.27027027027,98.081081081081
1.7,98.486486486487,98.594594594595,98.540540540541,98.243243243243
1.8,98.72972972973,98.783783783784,98.837837837838,98.702702702703
1.9,98.918918918919,98.945945945946,99,98.837837837838
2.0,99.081081081081,99.135135135135,99.162162162162,99.054054054054
2.1,99.243243243243,99.297297297297,99.27027027027,99.243243243243
2.2,99.378378378378,99.405405405405,99.486486486486,99.351351351351
2.3,99.459459459459,99.540540540541,99.513513513513,99.513513513514
2.4,99.540540540541,99.594594594595,99.648648648649,99.594594594595
2.5,99.648648648649,99.72972972973,99.675675675676,99.648648648649
2.6,99.648648648649,99.72972972973,99.675675675676,99.675675675676
2.6+,100,100,100,100
