name,count,total,average,plusorminus,percentage
vanilla-wp44-issue-15-5,740,423.249522,0.57195881351351,0,0
vanilla-wp44-1,740,422.787858,0.57133494324324,-0.00062387027026967,-0.10907608302026
vanilla-wp44-2,740,442.293232,0.59769355675676,0.025734743243244,4.4994049632973
vanilla-wp44-3,740,413.849231,0.55925571756757,-0.012703095945947,-2.2209808898498
vanilla-wp44-4,740,408.470035,0.55198653378378,-0.01997227972973,-3.4919087280151
vanilla-wp453,740,426.818572,0.57678185405405,0.0048230405405403,0.84324962332735
vanilla-wp453-1,740,424.304156,0.57338399459459,0.0014251810810804,0.24917547337466
vanilla-wp453-2,740,420.901817,0.56878623918919,-0.0031725743243239,-0.55468580068466
vanilla-wp453-3,740,419.73802,0.56721354054054,-0.0047452729729733,-0.82965291570968
vanilla-wp453-4,740,430.46934,0.58171532432432,0.0097565108108104,1.7058065336692
vanilla-wp461,740,430.023656,0.58111304864865,0.0091542351351348,1.6005060012802
vanilla-wp461-1,740,422.086223,0.57038678783784,-0.0015720256756754,-0.27484945393507
vanilla-wp461-2,740,428.560221,0.57913543378378,0.0071766202702697,1.2547442404435
vanilla-wp461-3,740,443.168991,0.59887701486487,0.026918201351352,4.7063181325933
vanilla-wp461-4,740,423.230081,0.57193254189189,-2.627162162161E-5,-0.0045932715784594
vanilla-wp47,740,448.908488,0.60663309189189,0.034674278378379,6.0623732966673
vanilla-wp47-1,740,444.238245,0.6003219527027,0.028363139189189,4.9589478331413
vanilla-wp47-2,740,473.514506,0.63988446756757,0.067925654054054,11.875969466541
vanilla-wp47-3,740,463.202761,0.62594967702703,0.053990863513514,9.4396418479594
vanilla-wp47-4,740,471.485944,0.63714316756757,0.065184354054054,11.39668670435
