Elapsed,Percentage
<0.3,5.7890185971219
<0.30,8.8572938545151
<0.31,8.7797616794196
<0.32,4.6747964401829
<0.33,2.5903620843435
<0.34,1.4055735336652
<0.35,0.79970198570198
<0.36,0.51698212065642
<0.37,0.50426199817981
<0.38,0.94583196415348
<0.39,1.507334513478
<0.40,2.1042716897017
<0.41,2.681371532063
<0.42,3.3599294941783
<0.43,3.5911631491995
<0.44,3.6032775515581
<0.45,3.3732553367728
<0.46,3.0604008958601
<0.47,2.8977650441949
<0.48,2.9168452279098
<0.49,2.754966526392
<0.50,2.6070193875867
<0.51,2.2900763358779
<0.52,1.9195270537319
<0.53,1.5733580063328
<0.54,1.4125393150214
<0.55,1.3036611238228
<0.56,1.1702512678479
<0.57,1.0565273157059
<0.58,0.92448032999632
<0.59,0.79470479472902
<0.6,1.9816133658201
<0.60,0.66447496937328
<0.7,3.1918421614517
<0.8,2.9341082512709
<0.9,1.2246146484325
<=1,6.5123998479643
<=2,0.85815397708258
<=3,0.19973620888864
<=4,0.2120020412768
<=5,0.057391981174219
>5,0.39735239736451
