Accum,vanilla,nofooter,gfw,yoastseo,genesistant
0.13,0.18808777429467,0,0,0,0
0.14,1.3166144200627,0,0,0,0
0.15,2.5705329153605,0.25094102885822,0.37523452157598,0,0
0.16,3.2601880877743,1.2547051442911,1.8761726078799,0.062972292191436,0
0.17,3.5109717868339,2.7603513174404,2.6266416510319,1.5743073047859,0
0.18,3.7617554858934,3.4504391468005,3.0018761726079,2.5188916876574,0
0.19,4.5141065830721,3.7641154328733,3.5647279549719,3.0856423173804,0.24844720496894
0.20,4.7021943573668,3.8268506900878,3.8774233896185,3.3375314861461,1.4906832298137
0.21,4.8275862068966,4.1405269761606,4.0650406504065,3.463476070529,2.4844720496894
0.22,4.9529780564263,4.642409033877,4.3777360850532,3.463476070529,2.8571428571429
0.23,5.0156739811912,4.8306148055207,4.5653533458412,3.6523929471033,3.1055900621118
0.24,5.0783699059561,4.8933500627353,4.6904315196998,4.0302267002519,3.2919254658385
0.25,5.0783699059561,5.0188205771644,4.6904315196998,4.3450881612091,3.2919254658385
0.26,5.141065830721,5.0188205771644,4.8155096935585,4.7229219143577,3.2919254658385
0.27,5.141065830721,5.0815558343789,5.0031269543465,4.7858942065491,3.416149068323
0.28,5.8307210031348,5.0815558343789,5.1282051282051,4.8488664987406,3.9130434782609
0.29,6.269592476489,5.0815558343789,5.3158223889931,4.8488664987406,4.9068322981366
0.30,7.0219435736677,5.1442910915935,5.3158223889931,4.911838790932,5.4037267080745
0.31,9.5924764890282,5.4579673776662,5.3158223889931,4.911838790932,5.6521739130435
0.32,12.351097178683,5.8343789209536,5.3158223889931,5.1007556675063,5.7142857142857
0.33,13.981191222571,6.0853199498118,5.3158223889931,5.1007556675063,5.7763975155279
0.34,14.858934169279,6.7126725219573,5.3158223889931,5.1007556675063,5.9006211180124
0.35,15.924764890282,8.2183186951066,5.3158223889931,5.1637279596977,6.0869565217391
0.36,17.680250783699,10.915934755332,5.3783614759225,5.1637279596977,6.2111801242236
0.37,18.432601880878,12.170639899624,5.4409005628518,5.1637279596977,6.2732919254658
0.38,19.310344827586,13.299874529486,5.4409005628518,5.1637279596977,6.2732919254658
0.39,19.937304075235,14.303638644918,5.4409005628518,5.1637279596977,6.3354037267081
0.40,21.191222570533,15.244667503137,5.5034396497811,5.1637279596977,6.3354037267081
0.41,22.633228840125,16.436637390213,6.3164477798624,5.1637279596977,6.3354037267081
0.42,24.764890282132,17.942283563363,6.6291432145091,5.1637279596977,6.3354037267081
0.43,27.335423197492,19.447929736512,7.191994996873,5.352644836272,6.3354037267081
0.44,29.905956112853,20.639899623588,9.6935584740463,6.4231738035264,6.3975155279503
0.45,33.040752351097,22.020075282309,11.444652908068,6.8639798488665,6.3975155279503
0.46,35.611285266458,23.149309912171,13.195747342089,6.9269521410579,6.3975155279503
0.47,37.868338557994,24.968632371393,13.946216385241,7.0528967254408,6.3975155279503
0.48,40,26.474278544542,14.446529080675,7.6826196473552,6.3975155279503
0.49,41.880877742947,28.795483061481,14.821763602251,9.4458438287154,6.3975155279503
0.50,43.636363636364,30.928481806775,15.447154471545,11.083123425693,6.3975155279503
0.51,45.76802507837,33.939774153074,16.82301438399,12.153652392947,6.7080745341615
0.52,48.401253918495,36.198243412798,18.574108818011,13.287153652393,7.2049689440994
0.53,50.407523510972,38.205771643664,19.449656035022,14.168765743073,7.5155279503106
0.54,52.476489028213,40.276035131744,20.825515947467,14.609571788413,7.639751552795
0.55,54.420062695925,41.969887076537,22.3889931207,15.428211586902,7.7018633540373
0.56,57.617554858934,43.601003764115,24.515322076298,16.120906801008,8.3850931677019
0.57,59.435736677116,45.796737766625,26.266416510319,17.128463476071,10
