,67
A,3183
B,2362
C,3636
D,1707
E,1894
F,2081
G,1890
H,947
I,1401
J,647
K,457
L,1446
N,919
P,2968
Q,387
R,1994
0,13
M,2393
O,728
S,5075
T,2336
U,719
V,643
W,7259
X,178
Y,415
Z,240
_,1
1,38
2,36
3,44
4,30
5,6
6,4
7,9
8,7
9,5
