Plugin,Total
xml-sitemap-feed,1669281
limit-login-attempts,1668870
members,1666175
wp-live-chat-support,1657851
wp-all-import,1652681
wp-review,1650506
wp-security-audit-log,1634539
social-media-feather,1628247
astra-sites,1595080
printfriendly,1579362
custom-css-js,1576887
soliloquy-lite,1569036
uk-cookie-consent,1562545
master-slider,1559371
wp-edit,1552950
powerpress,1552913
anti-spam,1545287
onesignal-free-web-push-notifications,1538885
wordpress-popup,1528641
simple-page-ordering,1520163
google-language-translator,1510502
fast-velocity-minify,1498712
quick-adsense,1483196
official-statcounter-plugin-for-wordpress,1480588
ga-google-analytics,1479324
yith-woocommerce-ajax-search,1472410
p3-profiler,1468116
image-slider-widget,1462803
wp-cerber,1448075
easy-facebook-likebox,1445807
pdf-embedder,1440802
all-404-redirect-to-homepage,1440011
auto-terms-of-service-and-privacy-policy,1439016
fancybox-for-wordpress,1427613
underconstruction,1415956
options-framework,1414046
advanced-responsive-video-embedder,1408865
password-protected,1407950
booking,1405215
link-library,1402279
themegrill-demo-importer,1398948
visual-form-builder,1398900
contact-form-maker,1398505
blogger-importer,1388840
quick-adsense-reloaded,1386615
foobox-image-lightbox,1384801
enhanced-media-library,1382636
my-calendar,1375581
floating-social-media-icon,1375469
pixelyoursite,1371878
custom-permalinks,1371131
easy-media-gallery,1363608
constant-contact-forms,1353628
fv-wordpress-flowplayer,1344841
gallery-by-supsystic,1338327
wordpress-simple-paypal-shopping-cart,1325034
user-switching,1318248
give,1318054
codepress-admin-columns,1316722
wp-product-review,1313812
woocommerce-jetpack,1309085
disable-gutenberg,1291024
custom-contact-forms,1275365
virtue-toolkit,1275008
code-snippets,1271883
favicon-by-realfavicongenerator,1261522
strong-testimonials,1258525
woocommerce-gateway-paypal-powered-by-braintree,1248698
tawkto-live-chat,1247132
s2member,1245936
wp-gdpr-compliance,1244323
leadin,1243799
contact-form-to-email,1242979
accesspress-social-share,1240270
ecwid-shopping-cart,1237941
all-in-one-favicon,1233369
simple-custom-post-order,1231702
health-check,1228259
simple-history,1224786
search-everything,1220725
wp-rss-aggregator,1218418
admin-custom-login,1216966
companion-auto-update,1214717
twitter-tools,1209544
genesis-simple-edits,1191616
wp-reset,1190422
wonderm00ns-simple-facebook-open-graph-tags,1186666
contact-form-7-honeypot,1177491
facebook-button-plugin,1174982
wp-google-fonts,1174057
secure-wordpress,1169059
woo-checkout-field-editor-pro,1165266
vaultpress,1158103
facebook-for-woocommerce,1150198
feedwordpress,1140762
sassy-social-share,1140393
