Slug,Name,Rating,Downloaded,Tested
smntcs-admin-maintenance,SMNTCS Admin Maintenance,0,564,5.3
swe-product-360-degree-view,SWE Product 360 Degree View,0,95,5.1.3
wp-dideo,Dideo,0,122,4.9.12
top-rank-content-checker,Top Rank Content Checker,0,77,5.2.4
featured-background-image-free,Featured Background Image &#8211; Free,0,82,5.2.4
easy-dexter-lightbox,Easy Dexter Lightbox,0,217,4.9.12
wp-flexkids,WP Flexkids,0,88,5.2.4
p3x-actualite-web,p3x actualité web,100,130,5.0.7
easy-business-directory,Easy Business Directory plugin,0,727,5.2.4
teoola,!teoola,0,94,5.2.4
lh-css-dates-and-times,LH CSS Dates and Times,0,269,5.2.4
subscreasy,subscrEASY,0,99,4.9.12
wp-simplepost-contributors,WP SimplePost Contributors,0,116,5.0.7
woo-shipping-notifications,Woocommerce Shipping Notifications,100,129,4.8.11
beautiful-animation,Beautiful Animation,0,235,5.1.3
page-specific-scripts,Page Specific Scripts,0,97,5.2.4
ferret,Ferret,0,244,5.2.4
woo-product-options,Woo Product Options,0,391,4.9.12
wp-cloud-shell,Azure Cloud Shell Link Generator,0,170,4.9.12
woo-all-discounts-mailerlite-addon,WooCommerce All Discounts &#8211; MailerLite Addon,0,92,5.0.7
nt-portfolio,NT Portfolio,0,334,4.8.11
unclickable-featured-image,Unclickable Featured Image,0,75,5.2.4
alt-multiduplicator,AlT Multiduplicator,0,368,4.8.11
woo-customers-birthday-wish,Birthday Message For Woocommerce,20,768,5.2.4
form-print-pay,Form print pay,0,403,5.0.7
wp-awesome-testimonial,Wp Awesome Testimonial,0,98,5.0.7
cc-payment-gateway,CC Payment Gateway,0,858,4.9.12
ajax-comment-form-cst,Ajax Comment Form CST,100,143,5.2.4
azores-gov-banner,Azores Gov Banner,0,341,4.9.12
content-user-relations,Content User Relations,0,134,5.2.4
buy-jumpseller,Buy Jumpseller,0,310,4.9.12
flexible-pickup,Flexible Pickup,0,241,4.8.11
scroll-back-to-top-button,Scroll Back To Top Button,0,162,4.9.12
bugplug-by-omatum,BugPlug by OMATUM,0,266,4.8.11
wh-cache-and-security,WH Cache &amp; Security,100,254,4.8.11
lr-faq,LR Faq,0,172,4.9.12
conditional-statements,Conditional Statements,0,81,5.2.4
sa-post-author-filter,Kikx Simple Post Author Filter,0,53,5.2.4
surbma-gdpr-multisite-privacy,Surbma | GDPR Multisite Privacy,0,243,4.9.12
four-corners,WP Four Corners,0,221,4.8.11
articled-io-webpush-notifications,Articled &#8211; Targeted Webpush Notifications,0,63,5.2.4
x-config-cim-starter-edition,X-CONFIG CIM Starter Edition for WooCommerce,0,208,4.9.12
alias-pay-woocommerce-gateway,Alias Pay,0,216,40
