Elapsed,vanilla,vanilla-34,vanilla-34-kd,vanilla-34-kd-2,vanilla-35-owc,vanilla-wp44
0.13,0.18808777429467,0,0,0,0,0
0.14,1.128526645768,0,0,0,0,0
0.15,1.2539184952978,0,0,0,0,0
0.16,0.68965517241379,0,0,0,0,0
0.17,0.25078369905956,0,0,0,0,0
0.18,0.25078369905956,0.24509803921569,0.24509803921569,0.24479804161567,0.12247397428047,0
0.19,0.75235109717868,1.0416666666667,1.4705882352941,1.1015911872705,1.5921616656461,1.0955569080949
0.20,0.18808777429467,1.7769607843137,1.8995098039216,2.1419828641371,2.0208205756277,2.069385270846
0.21,0.12539184952978,0.24509803921569,0.18382352941176,0.3671970624235,0,0.18259281801582
0.22,0.12539184952978,0.061274509803922,0,0.12239902080783,0.061236987140233,0.18259281801582
0.23,0.06269592476489,0.30637254901961,0.18382352941176,0.18359853121175,0.061236987140233,0.30432136335971
0.24,0.06269592476489,0,0,0.12239902080783,0.12247397428047,0.85209981740718
0.25,0,0,0.12254901960784,0,0,0
0.26,0.06269592476489,0.12254901960784,0.061274509803922,0,0.1837109614207,0.12172854534388
0.27,0,0.61274509803922,0.36764705882353,0.18359853121175,0.30618493570116,0.24345709068777
0.28,0.68965517241379,0.42892156862745,0.18382352941176,0.3671970624235,0.3674219228414,0.36518563603165
0.29,0.43887147335423,0.24509803921569,0.30637254901961,0.55079559363525,0.79608083282303,0.060864272671942
0.30,0.75235109717868,0,0.36764705882353,0.3671970624235,0.12247397428047,0.12172854534388
0.31,2.5705329153605,0.55147058823529,0.67401960784314,0.55079559363525,0.3674219228414,0.79123554473524
0.32,2.7586206896552,0.61274509803922,0.30637254901961,0.42839657282742,0.55113288426209,0.48691418137553
0.33,1.6300940438871,0.42892156862745,0.42892156862745,0.061199510403917,0.061236987140233,0.79123554473524
0.34,0.87774294670846,0.12254901960784,0.061274509803922,0.18359853121175,0.24494794856093,2.069385270846
0.35,1.0658307210031,0,0.061274509803922,0.12239902080783,0.061236987140233,0.42604990870359
0.36,1.7554858934169,0,0,0.12239902080783,1.4084507042254,0.54777845404747
0.37,0.75235109717868,0,0.24509803921569,0.061199510403917,0.61236987140233,3.2866707242848
0.38,0.87774294670846,0,0,0,0.73484384568279,4.8691418137553
0.39,0.6269592476489,0.12254901960784,0.061274509803922,0,2.8781383955909,1.2781497261108
0.40,1.2539184952978,0.30637254901961,0,0,3.9191671769749,1.034692635423
0.41,1.4420062695925,0.061274509803922,0,0.061199510403917,1.4084507042254,1.4607425441266
0.42,2.1316614420063,0.061274509803922,0.18382352941176,0.061199510403917,1.3472137170851,2.6780279975654
0.43,2.5705329153605,0.42892156862745,0.73529411764706,0.42839657282742,0.85731781996326,2.5562994522215
0.44,2.5705329153605,1.1029411764706,0.8578431372549,1.2239902080783,0.85731781996326,3.164942178941
0.45,3.1347962382445,0.30637254901961,0.24509803921569,0.3671970624235,1.5309246785058,3.2866707242848
0.46,2.5705329153605,0.73529411764706,1.0416666666667,1.1015911872705,2.9393753827312,2.9823493609251
0.47,2.257053291536,3.6764705882353,3.6764705882353,2.7539779681763,3.9191671769749,2.4954351795496
0.48,2.1316614420063,2.6348039215686,2.6960784313725,2.203182374541,5.4500918554807,2.7997565429093
0.49,1.8808777429467,1.2867647058824,1.3480392156863,1.3463892288862,4.3478260869565,4.3822276323798
0.50,1.7554858934169,1.0416666666667,0.91911764705882,1.1015911872705,2.4494794856093,5.2951917224589
0.51,2.1316614420063,0.79656862745098,0.8578431372549,1.1627906976744,3.1843233312921,4.199634814364
0.52,2.6332288401254,1.2867647058824,1.2254901960784,1.0403916768666,3.4905082669933,3.5909920876446
