Accum,vanilla,nofooter,gfw,yoastseo,genesistant,oik-widget-cache,noclone
0.13,0.18808777429467,0,0,0,0,0,0
0.14,1.3166144200627,0,0,0,0,0,0
0.15,2.5705329153605,0.25094102885822,0.37523452157598,0,0,0,0
0.16,3.2601880877743,1.2547051442911,1.8761726078799,0.062972292191436,0,0.43887147335423,0.37617554858934
0.17,3.5109717868339,2.7603513174404,2.6266416510319,1.5743073047859,0,1.6300940438871,2.0689655172414
0.18,3.7617554858934,3.4504391468005,3.0018761726079,2.5188916876574,0,2.6959247648903,2.884012539185
0.19,4.5141065830721,3.7641154328733,3.5647279549719,3.0856423173804,0.24844720496894,3.0094043887147,3.6363636363636
0.20,4.7021943573668,3.8268506900878,3.8774233896185,3.3375314861461,1.4906832298137,3.3855799373041,3.8871473354232
0.21,4.8275862068966,4.1405269761606,4.0650406504065,3.463476070529,2.4844720496894,3.5109717868339,3.8871473354232
0.22,4.9529780564263,4.642409033877,4.3777360850532,3.463476070529,2.8571428571429,3.7617554858934,4.0752351097179
0.23,5.0156739811912,4.8306148055207,4.5653533458412,3.6523929471033,3.1055900621118,4.2006269592476,4.3887147335423
0.24,5.0783699059561,4.8933500627353,4.6904315196998,4.0302267002519,3.2919254658385,4.7021943573668,4.576802507837
0.25,5.0783699059561,5.0188205771644,4.6904315196998,4.3450881612091,3.2919254658385,4.7648902821317,4.8902821316614
0.26,5.141065830721,5.0188205771644,4.8155096935585,4.7229219143577,3.2919254658385,4.9529780564263,4.9529780564263
0.27,5.141065830721,5.0815558343789,5.0031269543465,4.7858942065491,3.416149068323,4.9529780564263,5.0156739811912
0.28,5.8307210031348,5.0815558343789,5.1282051282051,4.8488664987406,3.9130434782609,5.0156739811912,5.0156739811912
0.29,6.269592476489,5.0815558343789,5.3158223889931,4.8488664987406,4.9068322981366,5.0783699059561,5.0783699059561
0.30,7.0219435736677,5.1442910915935,5.3158223889931,4.911838790932,5.4037267080745,5.141065830721,5.0783699059561
0.31,9.5924764890282,5.4579673776662,5.3158223889931,4.911838790932,5.6521739130435,5.141065830721,5.0783699059561
0.32,12.351097178683,5.8343789209536,5.3158223889931,5.1007556675063,5.7142857142857,5.141065830721,5.141065830721
0.33,13.981191222571,6.0853199498118,5.3158223889931,5.1007556675063,5.7763975155279,5.141065830721,5.141065830721
0.34,14.858934169279,6.7126725219573,5.3158223889931,5.1007556675063,5.9006211180124,5.2037617554859,5.141065830721
0.35,15.924764890282,8.2183186951066,5.3158223889931,5.1637279596977,6.0869565217391,5.3291536050157,5.5172413793103
0.36,17.680250783699,10.915934755332,5.3783614759225,5.1637279596977,6.2111801242236,5.8307210031348,6.3949843260188
0.37,18.432601880878,12.170639899624,5.4409005628518,5.1637279596977,6.2732919254658,6.3949843260188,6.7711598746082
0.38,19.310344827586,13.299874529486,5.4409005628518,5.1637279596977,6.2732919254658,8.025078369906,7.5235109717868
0.39,19.937304075235,14.303638644918,5.4409005628518,5.1637279596977,6.3354037267081,9.8432601880878,9.4670846394984
0.40,21.191222570533,15.244667503137,5.5034396497811,5.1637279596977,6.3354037267081,11.034482758621,11.912225705329
0.41,22.633228840125,16.436637390213,6.3164477798624,5.1637279596977,6.3354037267081,12.100313479624,13.416927899687
0.42,24.764890282132,17.942283563363,6.6291432145091,5.1637279596977,6.3354037267081,13.291536050157,14.545454545455
0.43,27.335423197492,19.447929736512,7.191994996873,5.352644836272,6.3354037267081,14.043887147335,15.297805642633
0.44,29.905956112853,20.639899623588,9.6935584740463,6.4231738035264,6.3975155279503,14.608150470219,16.238244514107
0.45,33.040752351097,22.020075282309,11.444652908068,6.8639798488665,6.3975155279503,15.297805642633,17.492163009404
0.46,35.611285266458,23.149309912171,13.195747342089,6.9269521410579,6.3975155279503,16.677115987461,19.184952978056
0.47,37.868338557994,24.968632371393,13.946216385241,7.0528967254408,6.3975155279503,17.617554858934,20.501567398119
0.48,40,26.474278544542,14.446529080675,7.6826196473552,6.3975155279503,18.871473354232,22.758620689655
0.49,41.880877742947,28.795483061481,14.821763602251,9.4458438287154,6.3975155279503,20.376175548589,25.705329153605
0.50,43.636363636364,30.928481806775,15.447154471545,11.083123425693,6.3975155279503,21.943573667712,28.401253918495
0.51,45.76802507837,33.939774153074,16.82301438399,12.153652392947,6.7080745341615,23.887147335423,30.971786833856
0.52,48.401253918495,36.198243412798,18.574108818011,13.287153652393,7.2049689440994,25.579937304075,33.918495297806
0.53,50.407523510972,38.205771643664,19.449656035022,14.168765743073,7.5155279503106,27.648902821317,37.05329153605
0.54,52.476489028213,40.276035131744,20.825515947467,14.609571788413,7.639751552795,29.278996865204,39.87460815047
0.55,54.420062695925,41.969887076537,22.3889931207,15.428211586902,7.7018633540373,30.407523510972,43.07210031348
0.56,57.617554858934,43.601003764115,24.515322076298,16.120906801008,8.3850931677019,32.664576802508,45.203761755486
0.57,59.435736677116,45.796737766625,26.266416510319,17.128463476071,10,35.172413793103,47.460815047022
0.58,60.940438871473,48.180677540778,28.392745465916,18.073047858942,10.621118012422,37.805642633229,50.407523510972
0.59,62.194357366771,50.188205771644,30.331457160725,19.269521410579,12.173913043478,40,52.852664576803
0.60,63.636363636364,52.07026348808,33.208255159475,20.906801007557,13.105590062112,41.504702194357,55.109717868339
0.61,64.952978056426,54.203262233375,35.146966854284,22.229219143577,13.726708074534,43.197492163009,56.363636363636
0.62,66.457680250784,55.64617314931,37.898686679174,23.740554156171,14.223602484472,45.51724137931,58.181818181818
0.63,67.398119122257,58.030112923463,40.462789243277,25.755667506297,14.596273291925,47.335423197492,59.686520376176
0.64,68.401253918495,59.9121706399,42.714196372733,28.148614609572,15.031055900621,49.404388714734,61.567398119122
0.65,68.777429467085,61.543287327478,45.403377110694,30.037783375315,15.83850931677,51.598746081505,62.758620689655
0.66,69.717868338558,63.676286072773,46.966854283927,31.612090680101,17.018633540373,53.228840125392,63.887147335423
0.67,70.407523510972,65.244667503137,49.405878674171,33.501259445844,18.012422360248,54.921630094044,64.890282131661
0.68,71.28526645768,66.687578419072,51.156973108193,35.453400503778,19.254658385093,56.363636363636,66.018808777429
0.69,71.912225705329,67.879548306148,52.970606629143,37.468513853904,20.434782608696,57.617554858934,66.833855799373
0.70,73.166144200627,69.322459222083,54.346466541588,39.294710327456,21.552795031056,58.808777429467,67.899686520376
0.71,73.918495297806,70.577164366374,55.722326454034,41.24685138539,23.105590062112,60.376175548589,68.902821316614
0.72,74.858934169279,71.580928481807,57.098186366479,43.198992443325,24.844720496894,61.755485893417,69.843260188088
0.73,75.799373040752,72.58469259724,58.661663539712,45.906801007557,26.39751552795,62.758620689655,71.097178683386
0.74,76.865203761755,73.212045169385,59.84990619137,48.110831234257,27.577639751553,63.887147335423,72.476489028213
0.75,77.617554858934,73.96486825596,61.225766103815,50.062972292191,29.192546583851,65.391849529781,73.354231974922
0.76,78.369905956113,75.470514429109,62.226391494684,51.448362720403,31.242236024845,66.708463949843,74.921630094044
