Accum,vanilla,akismet,cf7,ai1seo,yoastseo,jetpack,sitemaps,nextgen,importer,woocommerce,analytics
0.40,21.191222570533,22.096672944131,20.890840652447,21.455457967378,16.813602015113,17.126725219573,20.151133501259,9.6977329974811,19.697923222152,5.5485498108449,16.260162601626
0.41,22.633228840125,23.91713747646,21.957340025094,22.521957340025,17.947103274559,17.816813048933,21.47355163728,10.894206549118,21.019509125236,6.7465321563682,17.385866166354
0.42,24.764890282132,26.051475204018,23.212045169385,24.090338770389,19.332493702771,18.506900878294,23.614609571788,12.216624685139,22.907488986784,7.061790668348,18.574108818011
0.43,27.335423197492,28.12303829253,24.905897114178,26.097867001255,20.591939546599,20.012547051443,25.44080604534,13.035264483627,25.173064820642,8.890290037831,19.387116948093
0.44,29.905956112853,30.131826741996,26.976160602258,28.042659974906,21.725440806045,21.455457967378,27.518891687657,13.979848866499,27.627438640654,11.538461538462,20.825515947467
0.45,33.040752351097,32.768361581921,29.109159347553,30.238393977415,22.607052896725,22.961104140527,30.226700251889,14.92443324937,29.767149150409,13.177805800757,21.701063164478
0.46,35.611285266458,35.028248587571,31.618569636136,33.249686323714,24.748110831234,25.094102885822,32.493702770781,15.869017632242,32.221522970422,14.37578814628,22.889305816135
0.47,37.868338557994,37.28813559322,34.504391468005,36.260978670013,26.952141057935,27.101631116688,35.327455919395,16.813602015113,34.864694776589,15.321563682219,24.828017510944
0.48,40,39.673571876962,36.700125470514,39.460476787955,28.463476070529,29.548306148055,38.224181360202,17.821158690176,36.941472624292,16.267339218159,27.204502814259
0.49,41.880877742947,42.56120527307,39.648682559598,41.907151819322,31.297229219144,32.120451693852,40.554156171285,18.765743073048,39.584644430459,18.032786885246,29.080675422139
0.50,43.636363636364,45.134965473949,42.409033877039,44.479297365119,34.256926952141,34.44165621079,42.821158690176,20.214105793451,42.542479546885,18.915510718789,32.520325203252
0.51,45.76802507837,47.645951035782,44.730238393977,46.863237139272,36.964735516373,37.515683814304,44.773299748111,22.35516372796,44.870988042794,19.987389659521,35.397123202001
0.52,48.401253918495,50.094161958569,47.616060225847,49.435382685069,39.231738035264,39.209535759097,46.536523929471,24.433249370277,46.633102580239,21.185372005044,38.27392120075
0.53,50.407523510972,51.72630257376,50.941028858218,51.944792973651,41.183879093199,41.468005018821,49.811083123426,26.385390428212,48.772813089994,22.635561160151,40.900562851782
0.54,52.476489028213,53.797865662272,53.450439146801,53.826850690088,43.324937027708,45.04391468005,51.826196473552,27.959697732997,51.541850220264,24.022698612863,43.96497811132
0.55,54.420062695925,55.932203389831,55.457967377666,55.520702634881,45.151133501259,47.867001254705,53.52644836272,30.478589420655,53.996224040277,25.662042875158,46.216385240775
0.56,57.617554858934,58.317639673572,57.465495608532,58.281053952321,47.732997481108,50.439146800502,55.793450881612,31.863979848866,56.576463184393,27.931904161412,48.717948717949
