Elapsed,vanilla,sfence2,cfence2,ssuper,csuper
0.0,0,0,0.13123359580052,0,43.897637795276
0.1,2.0062695924765,44.178728760227,0.32808398950131,0,1.3123359580052
0.2,3.0721003134796,7.2372561359346,45.603674540682,7.125890736342,0.65616797900262
0.3,10.094043887147,1.1327879169289,0.26246719160105,1.6627078384798,3.1496062992126
0.4,16.112852664577,8.3071113908118,9.3175853018373,1.9002375296912,0.13123359580052
0.5,21.943573667712,8.9993706733795,7.4803149606299,11.87648456057,4.9212598425197
0.6,15.548589341693,9.2511013215859,11.548556430446,21.377672209026,6.1679790026247
0.7,8.5266457680251,4.9716803020768,6.4304461942257,18.646080760095,14.501312335958
0.8,5.3918495297806,4.3423536815607,4.4619422572178,13.420427553444,8.0708661417323
0.9,3.3855799373041,2.1397105097546,4.002624671916,8.9073634204276,6.496062992126
1.0,2.7586206896552,1.8250471994965,1.7716535433071,2.7315914489311,2.6902887139108
1.1,2.257053291536,1.3845185651353,1.6404199475066,2.7315914489311,1.509186351706
1.2,1.8181818181818,1.1327879169289,1.3779527559055,1.9002375296912,1.7716535433071
1.3,1.3166144200627,0.88105726872247,0.65616797900262,1.5439429928741,0.91863517060367
1.4,0.50156739811912,0.56639395846444,0.91863517060367,1.0688836104513,0.72178477690289
1.5,0.37617554858934,0.37759597230963,0.45931758530184,1.0688836104513,0.39370078740157
1.6,0.56426332288401,0.37759597230963,0.45931758530184,0.8313539192399,0.5249343832021
1.7,0.37617554858934,0.37759597230963,0.26246719160105,0.7125890736342,0.45931758530184
1.8,0.18808777429467,0.12586532410321,0.39370078740157,0.2375296912114,0.13123359580052
1.9,0.12539184952978,0.18879798615481,0.13123359580052,0,0.065616797900262
2.0,0.37617554858934,0.12586532410321,0.13123359580052,0.1187648456057,0.065616797900262
2.1,0.43887147335423,0.25173064820642,0.13123359580052,0.2375296912114,0
2.2,0.18808777429467,0.25173064820642,0.32808398950131,0.3562945368171,0.19685039370079
2.3,0.37617554858934,0.25173064820642,0.26246719160105,0.1187648456057,0.065616797900262
2.4,0.25078369905956,0.18879798615481,0.26246719160105,0.1187648456057,0.13123359580052
2.5,0.18808777429467,0.062932662051605,0.13123359580052,0.3562945368171,0.13123359580052
2.6+,1.4420062695925,0.75519194461926,1.1154855643045,0.95011876484561,0.91863517060367
>>>,0.37617554858934,0.31466331025802,0,0,0
