Accum,wp44,wp45,wp46,wp47,wpnr,wpnc
13,0,0,0,0,0,0.13495276653171
20,0.13513513513514,0.13513513513514,0.13513513513514,0.13513513513514,0.13513513513514,0.269905533063
34,1.8918918918919,1.1891891891892,0.13513513513514,0.13513513513514,0.13513513513514,0.26990553306343
35,1.8918918918919,2.1351351351351,1.8918918918919,0.13513513513514,0.13513513513514,2.0242914979757
36,2.4324324324324,2.4594594594595,2.2972972972973,1.8918918918919,1.8918918918919,2.4291497975709
37,2.5675675675676,3.4594594594595,2.5675675675676,2.2972972972973,2.2972972972973,2.6990553306343
38,4.0540540540541,6.4864864864865,4.0540540540541,2.5675675675676,2.5675675675676,4.1835357624831
39,8.3783783783784,9.8918918918919,7.2972972972973,4.0540540540541,4.0540540540541,7.4224021592443
40,11.756756756757,13.675675675676,10.540540540541,7.2972972972973,7.2972972972973,10.661268556005
41,16.621621621622,17.27027027027,15.135135135135,10.540540540541,10.540540540541,15.114709851552
42,18.783783783784,19.324324324324,17.837837837838,15,15,17.678812415655
43,20.675675675676,20.675675675676,19.324324324324,17.567567567568,17.5,19.433198380567
44,21.486486486486,22.27027027027,21.081081081081,19.324324324324,19.256756756757,21.052631578947
45,24.837837837838,25.081081081081,22.432432432432,20.945945945946,20.878378378378,22.402159244265
46,27.675675675676,28.756756756757,26.081081081081,22.297297297297,22.22972972973,26.180836707153
47,31.864864864865,33.027027027027,30,26.081081081081,26.013513513514,30.229419703104
48,36.459459459459,37.837837837838,34.594594594595,30.135135135135,30.067567567568,34.952766531714
49,44.567567567568,44.783783783784,39.189189189189,34.810810810811,34.797297297297,39.676113360324
50,49.297297297297,51.378378378378,47.432432432432,39.540540540541,39.527027027027,48.04318488529
51,54.972972972973,56.972972972973,52.945945945946,47.918918918919,47.905405405405,52.7665317139
52,60.216216216216,61.432432432432,58.891891891892,52.810810810811,52.77027027027,58.839406207827
53,63.72972972973,64.189189189189,62.810810810811,58.864864864865,58.851351351351,62.753036437247
54,65.891891891892,67,64.432432432432,62.918918918919,62.77027027027,64.372469635628
55,69,69.972972972973,66.567567567568,64.405405405405,64.391891891892,66.531713900135
56,72.378378378378,72.783783783784,69.27027027027,66.513513513514,66.554054054054,69.230769230769
57,74.675675675676,74.891891891892,72.378378378378,69.216216216216,69.256756756757,71.929824561404
58,75.891891891892,76.054054054054,74.27027027027,71.918918918919,71.959459459459,73.954116059379
59,77.243243243243,76.945945945946,76.162162162162,73.945945945946,73.918918918919,75.843454790823
