Accum,vanilla,vanilla5,akismet,sitemaps,importer
0.40,21.191222570533,19.919668633112,22.096672944131,20.151133501259,19.697923222152
0.41,22.633228840125,21.174846240743,23.91713747646,21.47355163728,21.019509125236
0.42,24.764890282132,22.354713191917,26.051475204018,23.614609571788,22.907488986784
0.43,27.335423197492,23.572235471319,28.12303829253,25.44080604534,25.173064820642
0.44,29.905956112853,25.003137944019,30.131826741996,27.518891687657,27.627438640654
0.45,33.040752351097,26.973766788001,32.768361581921,30.226700251889,29.767149150409
0.46,35.611285266458,29.01970628844,35.028248587571,32.493702770781,32.221522970422
0.47,37.868338557994,31.053094012803,37.28813559322,35.327455919395,34.864694776589
0.48,40,33.463035019455,39.673571876962,38.224181360202,36.941472624292
0.49,41.880877742947,36.299736412702,42.56120527307,40.554156171285,39.584644430459
0.50,43.636363636364,38.948161164805,45.134965473949,42.821158690176,42.542479546885
0.51,45.76802507837,41.684448349441,47.645951035782,44.773299748111,44.870988042794
0.52,48.401253918495,44.496046190536,50.094161958569,46.536523929471,46.633102580239
0.53,50.407523510972,47.54612777708,51.72630257376,49.811083123426,48.772813089994
0.54,52.476489028213,49.817999246893,53.797865662272,51.826196473552,51.541850220264
0.55,54.420062695925,52.504079327225,55.932203389831,53.52644836272,53.996224040277
0.56,57.617554858934,54.600225931969,58.317639673572,55.793450881612,56.576463184393
0.57,59.435736677116,56.734027864943,60.075329566855,57.682619647355,58.275645059786
0.58,60.940438871473,58.252792770177,62.021343377276,59.445843828715,60.667086217747
0.59,62.194357366771,59.922178988327,63.276836158192,61.209068010076,61.862806796727
0.60,63.636363636364,61.779841847621,64.281230382925,62.468513853904,63.499056010069
0.61,64.952978056426,63.850884900213,65.662272441933,63.727959697733,64.883574575205
0.62,66.457680250784,65.733651311661,66.91776522285,64.420654911839,66.519823788546
0.63,67.398119122257,67.315175097276,67.859384808537,65.80604534005,67.526746381372
0.64,68.401253918495,68.620559809213,68.989328311362,66.813602015113,68.407803650094
0.65,68.777429467085,69.398769925945,69.805398618958,67.506297229219,69.41472624292
0.66,69.717868338558,70.553533324965,70.244821092279,68.765743073048,69.981120201385
0.67,70.407523510972,71.632986067529,71.186440677966,69.395465994962,70.736312146004
0.68,71.28526645768,72.724990586168,71.87696170747,69.836272040302,70.98804279421
0.69,71.912225705329,73.84209865696,72.881355932203,70.528967254408,71.932032724984
0.70,73.166144200627,74.871344295218,73.760200878845,71.221662468514,73.442416614223
0.71,73.918495297806,75.599347307644,74.952919020716,72.040302267003,74.575204531152
0.72,74.858934169279,76.352453872223,75.957313245449,72.732997481108,75.204531151668
0.73,75.799373040752,77.055353332497,76.522284996861,73.614609571788,75.833857772184
0.74,76.865203761755,77.946529433915,77.15003138732,74.55919395466,76.840780365009
0.75,77.617554858934,78.925567967867,77.903327055869,76.007556675063,78.162366268093
0.76,78.369905956113,79.603363875988,78.907721280603,77.2040302267,78.854625550661
0.77,79.059561128527,80.557298857788,80.163214061519,78.715365239295,79.735682819383
0.78,79.561128526646,81.272750094138,81.167608286252,80.037783375315,80.239144115796
0.79,80.438871473354,81.91289067403,82.360326428123,81.171284634761,80.553807426054
0.80,80.626959247649,82.251788628091,82.548650345261,81.675062972292,80.805538074261
