Elapsed,nofooter,gfw,yoastseo,genesistant
0.15,0.25094102885822,0.37523452157598,0,0
0.16,1.0037641154329,1.5009380863039,0.062972292191436,0
0.17,1.5056461731493,0.75046904315197,1.5113350125945,0
0.18,0.6900878293601,0.37523452157598,0.94458438287154,0
0.19,0.31367628607277,0.56285178236398,0.56675062972292,0.24844720496894
0.20,0.062735257214555,0.31269543464665,0.25188916876574,1.2422360248447
0.21,0.31367628607277,0.18761726078799,0.12594458438287,0.99378881987578
0.22,0.50188205771644,0.31269543464665,0,0.37267080745342
0.23,0.18820577164366,0.18761726078799,0.18891687657431,0.24844720496894
0.24,0.062735257214555,0.12507817385866,0.37783375314861,0.18633540372671
0.25,0.12547051442911,0,0.31486146095718,0
0.26,0,0.12507817385866,0.37783375314861,0
0.27,0.062735257214555,0.18761726078799,0.062972292191436,0.12422360248447
0.28,0,0.12507817385866,0.062972292191436,0.49689440993789
0.29,0,0.18761726078799,0,0.99378881987578
0.30,0.062735257214555,0,0.062972292191436,0.49689440993789
0.31,0.31367628607277,0,0,0.24844720496894
0.32,0.37641154328733,0,0.18891687657431,0.062111801242236
0.33,0.25094102885822,0,0,0.062111801242236
0.34,0.62735257214555,0,0,0.12422360248447
0.35,1.5056461731493,0,0.062972292191436,0.18633540372671
0.36,2.6976160602258,0.062539086929331,0,0.12422360248447
0.37,1.2547051442911,0.062539086929331,0,0.062111801242236
0.38,1.129234629862,0,0,0
0.39,1.0037641154329,0,0,0.062111801242236
0.40,0.94102885821832,0.062539086929331,0,0
0.41,1.1919698870765,0.8130081300813,0,0
0.42,1.5056461731493,0.31269543464665,0,0
0.43,1.5056461731493,0.56285178236398,0.18891687657431,0
0.44,1.1919698870765,2.5015634771732,1.0705289672544,0.062111801242236
0.45,1.3801756587202,1.7510944340213,0.44080604534005,0
0.46,1.129234629862,1.7510944340213,0.062972292191436,0
0.47,1.8193224592221,0.75046904315197,0.12594458438287,0
0.48,1.5056461731493,0.50031269543465,0.62972292191436,0
0.49,2.3212045169385,0.37523452157598,1.7632241813602,0
0.50,2.1329987452949,0.62539086929331,1.6372795969773,0
0.51,3.0112923462986,1.3758599124453,1.0705289672544,0.31055900621118
0.52,2.258469259724,1.7510944340213,1.1335012594458,0.49689440993789
0.53,2.0075282308657,0.87554721701063,0.8816120906801,0.31055900621118
0.54,2.0702634880803,1.3758599124453,0.44080604534005,0.12422360248447
0.55,1.693851944793,1.5634771732333,0.81863979848866,0.062111801242236
0.56,1.6311166875784,2.1263289555972,0.69269521410579,0.6832298136646
0.57,2.1957340025094,1.7510944340213,1.007556675063,1.6149068322981
0.58,2.3839397741531,2.1263289555972,0.94458438287154,0.62111801242236
0.59,2.0075282308657,1.9387116948093,1.1964735516373,1.5527950310559
0.60,1.8820577164366,2.8767979987492,1.6372795969773,0.93167701863354
0.61,2.1329987452949,1.9387116948093,1.3224181360202,0.62111801242236
0.62,1.4429109159348,2.7517198248906,1.5113350125945,0.49689440993789
0.63,2.3839397741531,2.5641025641026,2.0151133501259,0.37267080745342
0.64,1.8820577164366,2.2514071294559,2.3929471032746,0.43478260869565
0.65,1.6311166875784,2.6891807379612,1.8891687657431,0.80745341614907
0.66,2.1329987452949,1.5634771732333,1.5743073047859,1.1801242236025
0.67,1.5683814303639,2.4390243902439,1.8891687657431,0.99378881987578
0.68,1.4429109159348,1.7510944340213,1.9521410579345,1.2422360248447
0.69,1.1919698870765,1.8136335209506,2.0151133501259,1.1801242236025
0.70,1.4429109159348,1.3758599124453,1.8261964735516,1.1180124223602
0.71,1.2547051442911,1.3758599124453,1.9521410579345,1.5527950310559
0.72,1.0037641154329,1.3758599124453,1.9521410579345,1.7391304347826
0.73,1.0037641154329,1.5634771732333,2.7078085642317,1.5527950310559
0.74,0.62735257214555,1.1882426516573,2.2040302267003,1.1801242236025
